run_id,ev_depart,confidence,ev_speed,route,ew_flow,ns_flow,travel_time,true_delay,ev_wait,safety_violations,teleports,deadlocks,passed
220,310.5,0.28,14.6,NS_D,859,707,31.0,9.68,0.0,0,0,0,True
221,281.4,0.93,14.2,NS_B,831,600,25.0,3.08,0.0,0,0,0,True
222,522.2,0.33,19.3,EW_full,1003,613,-1.0,999.0,28.0,0,0,1,False
223,614.0,0.68,16.6,EW_full,653,964,74.0,32.89,0.0,0,0,0,False
224,421.4,0.01,19.3,COMPLEX_TURN_D_TO_B,1024,911,89.0,53.64,20.0,0,0,0,False
225,397.1,0.9,15.5,NS_C,720,742,32.0,11.92,0.0,0,0,0,True
226,453.0,0.5,20.8,NS_B,808,748,33.0,18.04,2.0,0,0,0,False
227,355.2,0.72,18.4,NS_C,949,937,80.0,63.09,40.0,0,0,0,False
228,568.9,0.86,19.1,NS_D,972,675,25.0,8.71,0.0,0,0,0,True
229,250.5,0.32,17.5,NS_B,963,900,51.0,33.22,15.0,0,0,0,False
230,399.1,0.15,18.3,NS_B,1064,858,55.0,37.99,18.0,0,0,0,False
231,384.7,0.13,16.5,COMPLEX_TURN_D_TO_B,942,863,89.0,47.64,18.0,0,0,0,False
232,298.8,0.33,20.6,EW_full,774,970,89.0,55.87,14.0,0,0,0,False
233,399.3,0.11,17.6,NS_D,618,854,52.0,34.32,19.0,0,0,0,False
234,489.7,0.58,17.5,EW_full,835,674,124.0,85.01,36.0,0,0,0,False
235,271.4,0.7,19.9,EW_full,611,620,60.0,25.71,0.0,0,0,0,False
236,407.3,0.59,19.4,EW_full,714,713,74.0,38.82,6.0,0,0,0,False
237,316.9,0.56,16.9,NS_D,740,683,27.0,8.59,0.0,0,0,0,True
238,315.4,0.57,17.6,COMPLEX_TURN_D_TO_B,816,973,86.0,47.23,20.0,0,0,0,False
239,626.5,0.28,21.4,NS_C,982,730,32.0,17.46,0.0,0,0,0,False
240,578.0,0.07,17.7,EW_full,775,837,104.0,65.45,24.0,0,0,0,False
241,332.5,0.85,14.6,COMPLEX_TURN_D_TO_B,1097,755,57.0,10.26,0.0,0,0,0,True
242,407.1,0.5,16.8,COMPLEX_TURN_D_TO_B,906,800,74.0,33.38,11.0,0,0,0,False
243,595.3,0.11,15.4,EW_full,804,897,127.0,82.69,39.0,0,0,0,False
244,266.0,0.68,16.1,EW_full,780,971,86.0,43.61,8.0,0,0,0,False
245,311.0,0.16,18.0,NS_B,647,684,32.0,14.71,1.0,0,0,0,True
246,326.0,0.85,14.0,NS_B,703,843,38.0,15.77,5.0,0,0,0,False
247,387.1,0.07,20.3,COMPLEX_TURN_D_TO_B,993,901,90.0,56.38,25.0,0,0,0,False
248,290.7,0.98,20.6,COMPLEX_TURN_D_TO_B,816,609,58.0,24.87,0.0,0,0,0,False
249,444.9,0.38,15.2,COMPLEX_TURN_D_TO_B,974,854,86.0,41.11,17.0,0,0,0,False
250,387.2,0.97,14.2,NS_C,605,663,28.0,6.08,0.0,0,0,0,True
251,464.3,0.2,21.2,NS_D,805,617,27.0,12.32,0.0,0,0,0,True
252,441.8,0.18,19.5,EW_full,919,967,-1.0,999.0,36.0,0,0,1,False
253,291.8,0.97,17.8,NS_B,670,849,40.0,22.52,6.0,0,0,0,False
254,398.8,0.47,14.5,COMPLEX_TURN_D_TO_B,749,721,61.0,13.94,0.0,0,0,0,True
255,581.7,0.21,19.7,EW_full,1000,975,-1.0,999.0,0.0,0,0,1,False
256,522.3,0.24,20.5,NS_D,839,936,58.0,42.82,21.0,0,0,0,False
257,376.9,0.89,17.1,NS_B,1052,839,42.0,23.8,9.0,0,0,0,False
258,529.9,0.2,19.3,NS_B,859,610,25.0,8.88,0.0,0,0,0,True
259,616.8,0.14,19.3,NS_C,727,896,58.0,41.88,20.0,0,0,0,False
260,594.2,0.66,17.4,COMPLEX_TURN_D_TO_B,1026,954,-1.0,999.0,22.0,0,0,1,False
261,392.5,0.95,19.3,EW_full,1001,846,-1.0,999.0,21.0,0,0,1,False
262,376.7,0.64,20.2,NS_C,620,710,29.0,13.59,0.0,0,0,0,True
263,282.1,0.01,19.0,EW_full,1026,956,-1.0,999.0,31.0,0,0,1,False
264,467.6,0.49,20.6,NS_C,1006,881,58.0,42.89,18.0,0,0,0,False
265,459.3,0.4,18.1,NS_B,732,979,59.0,41.81,24.0,0,0,0,False
266,377.8,0.19,14.7,NS_D,828,869,43.0,21.83,8.0,0,0,0,False
267,322.3,0.08,14.9,NS_C,780,690,25.0,4.11,0.0,0,0,0,True
268,621.4,0.66,18.8,EW_full,1071,691,-1.0,999.0,0.0,0,0,1,False
269,649.5,0.03,21.3,NS_C,732,857,59.0,44.39,19.0,0,0,0,False
270,625.2,0.62,20.3,NS_B,980,645,30.0,14.67,0.0,0,0,0,True
271,379.6,0.87,19.3,NS_B,912,975,60.0,43.88,23.0,0,0,0,False
272,544.5,0.12,17.2,EW_full,955,622,-1.0,999.0,24.0,0,0,1,False
273,476.6,0.98,17.0,EW_full,928,681,-1.0,999.0,59.0,0,0,1,False
274,285.8,0.16,15.6,EW_full,915,668,127.0,83.26,36.0,0,0,0,False
275,546.3,0.21,17.0,NS_B,902,610,25.0,6.69,0.0,0,0,0,True
276,301.5,0.68,15.2,EW_full,1031,909,-1.0,999.0,42.0,0,0,1,False
277,509.5,0.09,15.9,NS_D,916,766,33.0,13.43,0.0,0,0,0,True
278,475.8,0.38,20.5,COMPLEX_TURN_D_TO_B,676,974,-1.0,999.0,22.0,0,0,1,False
